VKM;Keeper Name;Country;Status;Website
CTVRF;SC RAFFINACHEM Ltd;CY;in use;
CVI;C. Vanoli AG;CH;in use;c-vanoli.ch
CVS;CONTRATAS Y VENTAS, S.A.;ES;in use;
CVT;Carlo Vanoli AG Thalwil;CH;in use;vanoli-ag.ch
CWAG;Cargo Wagon, a.s.;SK;in use;
CWAYT;CARGOWAY TABOR sp. z o.o.;PL;in use;cargoway.pl
CWL;Compagnie Internationale des Wagons-Lits et du Tourisme SA;AT;in use;cwl-services.com
CX;CEMEX Czech Republic, s.r.o.;CZ;in use;
CXM;Veolia Transport Morava a.s.;CZ;in use;connexmorava.cz
CXXN;Connexxion;NL;in use;connexxion.nl
CYCAS;CYCASA CANTERAS Y CONSTRUCCIONES, S.A.;ES;in use;cycasa.com
CYMI;CONTROL Y MONTAJES INDUSTRIALES CYMI S.A.;ES;in use;cymimasa.com
CYRO;CYRO s.r.o.;SK;in use;fantazialiptovpark.sk
CZA;Club 1018;AT;in use;club1018.at
CZL;CZ LOKO, a.s.;CZ;in use;czloko.cz
CZLPL;CZ LOKO Polska Sp. z o.o.;PL;in use;czloko.pl
CZPD;Plzeňská dráha, z.s.;CZ;in use;plzenskadraha.cz
CZR;Centar Za Reciklažu, Beograd;RS;in use;czr.co.yu
DAB;JAXAN Rail sp. z o.o.;PL;Revoked;dabrail.com
DACIA;AUTOMOBILE DACIA SA;RO;in use;
DAD;D'ADIUTORIO APPALTI E COSTRUZIONI SRL;IT;in use;dadiutorio.it/
DALA;Ludwig Dalacker& Sohn , Inh. Kurt Dalacker;DE;in use;dalacker.de
DAMA;DAMA - D.P. d.o.o.;HR;in use;dama-dp.hr
DAMPF;Kieldampf GmbH;DE;in use;kieldampf.de
DAN;DSB aarhus Nærbane A/S;DK;in use;
DANDD;D&D ELECTRO PARTNERS SRL;RO;in use;d-d.ro
DAU;DAU Eisenbahn-, Straßen- und Tiefbau GmbH;DE;in use;dau-bauunternehmen.de
DAW;Centrala Obrotu Towarami Masowymi DAW-BYTOM Sp. z o.o.;PL;in use;daw.bytom.pl
DAXI;DAXI SA;RO;in use;daxi.be
DAYDN;Aydin Baggerbetrieb;DE;in use;
DB;Deutsche Bahn /  DB AG;DE;in use;bahn.de
DBBBG;DB Bahnbau Gruppe GmbH;DE;in use;bahnbaugruppe.de
DBCCH;DB Cargo Schweiz GmbH;CH;in use;ch.dbcargo.com
DBCCZ;DB Cargo Czechia s.r.o.;CZ;in use;cz.dbcargo.com
DBCFR;DB Cargo France;FR;Revoked;fr.dbcargo.com/rail-fr-fr
DBCSC;DB Cargo Scandinavia;DK;in use;dbcargo.com/dk
DBFWD;DB Fahrwegdienste GmbH;DE;in use;fahrweg.dbnetze.com/fahrwegde/unternehmen/db_netz_ag/externe_organisationen/fahrwegdienste-1368662
DBFZI;DB Fahrzeuginstandhaltung GmbH;DE;in use;bahn.de
DBG;DB Bahnbau Gruppe GmbH;DE;Revoked;
DBGM;Döllnitzbahn GmbH;DE;in use;doellnitzbahn.de
DBH;DB Cargo Hungária Kft;HU;in use;hu.dbcargo.com
DBINF;Infra SILESIA S.A.;PL;in use;
DBKT;DB Kommunikationstechnik GmbH;DE;in use;deutschebahn.com
DBMP;DB InfraGO Aktiengesellschaft;DE;in use;https://www.dbinfrago.com/web
DBSCH;DB Schenker Rail Schweiz GmbH;CH;in use;rail.dbschenker.ch
DBSKR;SCHENKER ROMTRANS SA;RO;in use;dbschenker-romtrans.com
DBSLR;SCHENKER LOGISTICS ROMANIA SRL;RO;in use;
DBSNI;DB Cargo AG;DE;in use;dbcargo.com
DBSPL;East West Railways Sp. Z.o.o.;PL;Revoked;
DBSR;SC Deutsche Bahn Cargo Romania SRL;RO;in use;ro.dbcargo.com
DBSRH;DB Schenker Rail Hungária Kft;HU;Revoked;
DBSRP;DB Cargo Polska S.A.;PL;in use;dbcargo.com
DBSRR;DB Schenker Rail Rybnik s.a.;PL;Revoked;dbschenker.com
DBSRS;DB Cargo Spedkol Spółka z o.o.;PL;in use;dbcargo.com
DBSUK;DB Schenker Rail (UK) Ltd;UK;in use;rail.dbschenker.co.uk
DBV;Järnvägsföreningen Dellenbanans vänner;SE;in use;dellenbanan.nu
DBVCZ;DBV-ITL, s.r.o.;CZ;in use;www.dbv-itl.cz
DBZ;Dolderbahn-Betriebs-AG;CH;in use;
DCT;DC Tractie;NL;in use;dctractie.nl
DDF;Verein Dampflok-Depot Full;CH;in use;www.dampflokdepotfull.ch
DDL;Compagnie Ferroviaire du Léman (CFDL);CH;in use;cfdl.ch
DDM;Deutsches Dampflokomotiv Museum;DE;in use;dampflokmuseum.de
DDR;Eisenbahnunternehmen Großheim;DE;in use;
DDSV;ĐURO ĐAKOVIĆ Specijalna vozila d.d.;HR;in use;ddsv.hr
DDZLK;Dobeles dzirnavnieks AS;LV;in use;www.dzirnavnieks.lv
DE;Dortmunder Eisenbahn GmbH;DE;in use;dortmunder-eisenbahn.de
DEALF;DEALFER Srls;IT;in use;
DEBG;Dampfzug-Betriebs-Gemeinschaft e.V.;DE;in use;dampfzug-betriebs-gemeinschaft.de
DEGUS;Röhm GmbH;DE;in use;
DEI;DE Infrastruktur GmbH;DE;in use;captrain.de
DEJA;DEJA&DELIVERY SRL;RO;in use;
DELIC;Delica AG;CH;in use;delica.ch
DELT;DELTA GAS COV SRL;RO;in use;
DELTA;DeltaRail  GmbH;DE;in use;deltarail.de
DEN;Dampfeisenbahn Niedehein e.V.;DE;in use;dampfeisenbahn-niederrhein.de
DEPOL;Przedsiębiorstwo Obrotu Surowcami Wtórnymi DEPOL Sp. z o.o.;PL;in use;depol.com.pl
DESP;Despotija d.o.o.;RS;in use;despotija.rs
DESTI;Destia Rail Oy;FI;in use;destia.fi
DEV;Deutsche Eisenbahn Verein e.V.;DE;in use;museumseisenbahn.de
DEW;Dampfeisenbahn Weserbergland e.V.;DE;in use;dampfeisenbahn-weserbergland.de
DEZA;DEZA, a.s. Valašské Meziřiči;CZ;in use;deza.cz
DFB;Dampfbahn Furka-Bergstrecke AG;CH;in use;dfb.ch
DFBI;FBI GmbH;DE;in use;fbigmbh.com
DFC;DELCOURT RAIL;FR;in use;
DFS;Dampfbahn Frankische Schweiz e.V.;DE;in use;dampfbahn.net
DGB;DG Rail SA;CH;in use;
DGEG;DGEG Bahnen & Reisen  Bochum AG;DE;in use;
DGEGN;Deutsche Gesellschaft für Eisenbahngeschichte e.V. NIederlassung Eisenbahnmuseum Neustadt;DE;in use;dgeg.de
DGEGW;DGEG Bahnen & Reisen Würzburg GmbH;DE;in use;eisenbahnmuseum-wuerzburg.de
DGM;Dampflok-Gesellschaft München e.V.;DE;in use;dgm-41018.de
DGMT;Deutsche Gleisbau Material Transport GmbH;DE;in use;
DGT;DB Bahnbau Gruppe GmbH;DE;Revoked;
DGU;DGU Deutsche Gleisbau-Union GmbH & Co. KG;DE;in use;dgu-international.de
DH;Aktien-Gesellschaft der Dillinger Hüttenwerke;DE;in use;dillinger.de
DHE;Delmenhorst-Harpstedter Eisenbahn;DE;in use;dhe-reisen.de
DHEF;Delmenhorst-Harpstedter Eisenbahnfreunde e.V.;DE;in use;dhef.de
DI;D.I. Diversified Investments SA;CH;in use;d-i.ch
DIAMO;DIAMO, státní podnik;CZ;in use;
DIEBM;Die Bahnmeisterei;DE;in use;diebahnmeisterei.de
DIENO;Dieselnostalgie Schienenfahrzeugbereitstellungs GmbH;AT;in use;
DIGB;DigiBau GmbH;DE;in use;Digibau-ki.de
DIOSM;DIOKI d.d.;HR;in use;dioki.hr
DISA;Mescola GmbH;CH;in use;
DISPO;Beacon Rail Capital Europe GmbH;DE;in use;beaconrail.eu
DITAS;DITURIA a.s.;SK;in use;dituria.sk
DJA;DJ+A Logistics GmbH & Co.KG;DE;in use;ww.dja-group.eu
DJM;Danmarks Jernbanemuseum;DK;in use;jernbanemuseet.dk
DKB;Dürener Kreisbahn;DE;in use;dkb-dn.de
DKBE;Diepholzer Kreisbahn EVU GmbH;DE;in use;kreisbahn.com
DKWOJ;Firma Handlowo-Usługowa Karolina Wojdowska;PL;in use;
DLA;DOLNOŚLASKIE LINIE AUTOBUSOWE Sp.z o.o.;PL;in use;dla.com.pl
DLAB;Draglok AB;SE;in use;
DLB;Die Länderbahn GmbH DLB;DE;in use;laenderbahn.com
DLBCZ;Die Länderbahnen CZ s.r.o.;CZ;in use;laenderbahn.com
DLC;Dampflokiclub Herisau;CH;in use;bt9.ch
DLD;Delitzscher Landhandel & Dienste GmbH (DLD GmbH);DE;in use;dld-delitzsch.de
DLFB;Dampflokfreunde-Berlin e.V;DE;in use;dampflokfreunde-berlin.com
DLFS;Dampflokfreunde Salzwedel e.V.;DE;in use;dampflok-salzwedel.de/
DLGB;AG Osthavelländische Kreisbahnen e.V.;DE;in use;dampflokgemeinschaft-brandenburg.de
DLHBS;Traditionsgemeinschaft 50 3708 e.V;DE;in use;dampflok-halberstadt.de
DLI;SKL -Service- Wesertal GmbH;DE;Revoked;die-lei-gleisbau.de
DLK;Das Letzte Kleinod GbR;DE;in use;das-letzte-kleinod.de
DLL;Leipa Logistik GmbH;DE;in use;leipa-log.com
DLM;DLM AG;CH;in use;dlm-ag.ch
DLRR;Daugavpils Lokomotīvju Remonta Rūpnīca;LV;in use;dlrr.eu
DLRRH;DLRR-Hungary Kft.;HU;in use;hungary.dlrr.eu/
DLS;DALSAN ALÇI SANAYI VE TICARET A.S.;TR;in use;dalsan.com.tr/
DLSK;Deutsche Leasing Slovakia spol. s r.o.;SK;in use;
DLV;Dampfloki-Verein AB;CH;in use;dampfloki.ch
DMA;DEMİR YAPI İNŞAAT TİCARET VE SANAYİ A.Ş.;TR;in use;demiryapi.com.tr/
DME;Deutsche -Museums-Eisenbahn GmbH;DE;in use;
DMG;DMG, s.r.o.;SK;in use;
DMHK;Dampflokmuseum Hermeskeil;DE;in use;
DMI;DEMİRYAPI İNŞ.TAAH. VE DAHİLİ TİCARET - Raşıt DEMİR;TR;in use;demiryapi.com.tr/
DMVRC;„ДMB” EООД;BG;in use;
DMX;DAMIX spol. s r.o.;CZ;in use;cargom.cz
DNCM;Danucem Slovensko a.s.;SK;in use;www.danucem.com
DNDR;Bahn Betrieb Niederau GmbH;DE;in use;bbn.gmbh
DNV;DNV-Verlag GmbH;DE;in use;dnv-tours.de
DO;Donner GmbH;DE;in use;donner-gmbh.de
DOL;"""Żwirownia Dolata"", ""Beton Dolata"" Agnieszka Dolata";PL;in use;mdolata.pl
DOLVA;DOLVAP, s.r.o.;SK;in use;dolvap.sk
DOLWR;Dolnośląskie Przedsiębiorstwo Napraw Infrastruktury Komunikacyjnej DOLKOM Sp. z o.o.;PL;in use;dolkom.pkp.wroc.pl
DONAU;DONAU CHEM SRL;RO;in use;
DORUK;DORUK TRANS ULUSLAR ARASI TAŞIMACILIK LTD.ŞTİ;TR;in use;doruktrans.com
DOW;DOW Sverige AB;SE;in use;
DOZEM;thomas zement GmbH & Co. KG;DE;in use;thomas-gruppe.de
DP;DP Deutsche Privatbahn GmbH;DE;in use;
DPAPL;Duisport Agency Polska sp. z o. o.;PL;in use;duisport.de/?lang=en
DPB;DPB Rail Infra Service GmbH;AT;in use;dpb.at
DPLA;Deutsche Plasser Bahnbaumaschinen GmbH;DE;in use;deutsche-plasser.de
DPO;Dinazzano Pò S.p.A.;IT;in use;dpspa.it
DPOV;PDPOV, a.s.;CZ;in use;dpov.cz
DPR;duisport rail GmbH;DE;in use;duisport-rail.de
DPSK;Daisy plus, s.r.o.;SK;in use;
DR;Deutsche Regionalbahn;DE;in use;
DRAGA;Drachen-Propan GmbH;DE;in use;
DRAIN;DRAINSAL, S.L.U.;ES;in use;drainsal.es
DRE;Deutsche Regional-Eisenbahn;DE;in use;regionaleisenbahn.de
DREIS;BD Verwertung und Handel;DE;in use;--
DRG;Eisenbahnsonderfahrten Sauren;DE;in use;eisenbahnsonderfahrten.de
DRK;Lučební závody Draslovka a.s. Kolín;CZ;in use;
DRS;Direct Rail Services;UK;in use;directrailservices.com
DRSLV;DORSALVE, SL;ES;in use;dorsalve.com
DRT;DRT Danubius Rail Transport Ltd.;HU;in use;danubiusrailtransport.hu
DRXUK;Drax Power Ltd.;UK;in use;drax.com
DS;DS VASÚT KFT;HU;in use;dsvasut.uniweb.hu
DSB;Danske Statsbaner;DK;in use;dsb.dk
DSBEV;Dampflokfreunde Schwarzwald-Baar e.V.;DE;in use;dampflokfreunde-schwarzwald-baar.de
DSBS;DSB S-tog a/s;DK;in use;s-tog.dk
DSC;DS Cargo, s.r.o.;SK;in use;
DSCHT;Duchcovská svařovna,a.s.;CZ;in use;dscht.cz
DSCR;Discordia Plc;BG;in use;discordia.bg
DSF;Verein DSF;CH;in use;draisine.ch
DSG;DAN STEEL GROUP BECLEAN SA;RO;in use;
DSM;DSM Nutritional Products, Werk Sisseln;CH;in use;dsm.com
DSP;Dopravné Stavby Púchov, s.r.o.;SK;in use;
DSSST;DSS servicetech s.r.o.;CZ;in use;
DST;Dstrainrail S.A;PT;in use;dstrainrail.com
DSVIT;DSV SpA;IT;in use;dsv.com
DTBEK;MÁV Dunántúli Távközlési és Biztosítóberendezés Építő Kft.;HU;in use;dtb.hu
DTE;DTE - Instalações Especiais S.A.;PT;in use;dte.pt
DTF;dispo-Tf Rail GmbH;DE;in use;rail.dispotf.de
DTFT;Djspo-Tf Technical Service GmbH;DE;in use;technical.dispotf.de/
DTO;Dampflok Tradition Oberhausen e.V;DE;in use;dampfloktradition.de
DTR;DORI TRANS SRL;RO;in use;doritrans.ro
DTURK;DEMIRTÜRK TREN TAŞIMACILIK A.Ş.;TR;in use;demirturktren.com
DUA;Dualogis GmbH;DE;in use;dualogis.de
DUBV;Duisburg Baumaschinen Vermietungs GmbH;DE;in use;
DUCHE;S.A. DUCHENE;BE;in use;duchene-sa.be
DUD;D & D Eisenbahngesellschaft mbH;DE;in use;dud-eisenbahn.de
DUKOL;DUKOL Ostrava, s.r.o.;CZ;in use;
DUNAV;Dunavagon Kft.;HU;in use;
DUO;DUOmobile GmbH;DE;in use;duomobile.de
DUROC;Duroc Rail AB;SE;in use;duroc.se
DURTR;DURTRACK GmbH;DE;in use;
DUS;Diringer & Scheidel Bauunternehmung GmbH & Co. KG;DE;in use;dus.de
DUSLO;DUSLO a.s.;SK;in use;duslo.sk
DVE;Dessauer Verkehrs- und Eisenbahngesellschaft mbH;DE;in use;dvv-dessau.de
DVF;DVF;FR;in use;dvfgroupe.fr
DVG;DEVEGA RAIL SRL;RO;in use;
DVVJ;Dal-Västra Värmlands Järnväg;SE;in use;dvvj.com
DVVO;Ministry of Defence Movement and Tansport Organisation;NL;in use;
DVZO;Dampfbahn-Verein Zürcher Oberland;CH;in use;dvzo.ch
DWK;DWK GmbH;DE;in use;dwk-service.de
DWVDC;De Witte-Vandecaveye BV;BE;in use;dewittevdc.be
DYNAM;VEREIN DYNAMOMETERWAGEN;CH;in use;
DZK;OZ Detská železnica Košice;SK;in use;detskazeleznica.sk
DZKD;Detská železnica Košice – Doprava, s. r. o.;SK;in use;detskazeleznica.sk
DZLA;Dzelzceļa Būve SIA;LV;in use;railbalt.com
DZLMV;DHL Food Services GmbH;DE;in use;dhl.com
DZLOK;"SIA ""DZ Loko""";LV;in use;
EAHD;EAH Eisenbahn Anlangen Handel GmbH;DE;in use;
EARTH;EARTHMOVIMG s.r.o.;CZ;in use;
EASM;Easmar Logistics Oy;FI;in use;easmar.fi
EAT;EQOS-Energie Österreich GmbH;AT;in use;eqos-energie.com
EAV;Ente Autonomo Volturno s.r.l.;IT;in use;eavcampanianordest.it
EB;Ernst Becker Bahn und Tiefbau GmbH;DE;in use;becker-bahnbau.de
EBAA;Extron Baltic SIA;LV;in use;extron.lv
EBAB;Elektrobyggnad Sverige AB;SE;Revoked;elektrobyggnad.se
EBAG;EBAG Elbe Baumaschinen GmbH & CoKG;DE;in use;
EBBEV;Verein Erzbergbahn;AT;in use;erzbergbahn.at
EBC;EBC Elsenbahnbetriebs und Consulting GmbH;DE;in use;
EBEFW;Eisenbahnfreunde Wetterau e.V;DE;in use;ef-wetterau.de
EBFL;Verein der Eisenbahnfreunde in Lienz;AT;in use;
EBG;Eisenbahn-Betriebsgesellschaft;DE;in use;
EBGL;Emeran Braun GmbH & Co. KG;DE;in use;emeran-braun.de
EBL;EBL GmbH EisenbahnBetriebsLeistungen;DE;in use;
EBM;EBM Cargo GmbH;DE;in use;ebm.de
EBMKD;Eisenbahn-Museum-und Nostalgieclub Knittelfeld;AT;in use;
EBN;Eisenbahnbedarf Bad Nauheim;DE;in use;
EVRO;"""Евроинженеринг"" ЕООД";BG;in use;
EBS;Erfurter Bahnservice GmbH;DE;in use;erfurter-bahnservice.de
EBT;EBT - EMONS Bahntransporte GmbH;DE;in use;
EBW;Eisenbahnbewachungs-GmbH;DE;in use;ebw-online.com
EBWBN;Eisenbahnverkehr Wetterau GmbH (EBW);DE;in use;ebw.gmbh
ECA;Eisenbahnclub Aschersleben e.V.;DE;in use;eisenbahnclub-asl.de
ECAU;ELETRIC Schaltanlagenfertigung GmbH;DE;in use;
ECB;ELECTROCARBON SLATINA SA;RO;in use;
ECCO;ECCO-Cargo-Rail-GmbH;DE;Revoked;
ECCOA;ecco-rail GmbH;AT;in use;ecco-rail.at
ECCOR;Ecco Rail Sp. z o.o.;PL;in use;ecco-rail.eu
ECFER;ECHIPAMENTE FEROVIARE SRL;RO;in use;
ECISA;Ecisa, Compaňia general de construcciones, S.A;ES;in use;ecisa.es
ECKE;PGE Górnictwo i Energetyka Konwencjonalna S.A. Oddział Elektrociepłownia Kielce;PL;in use;eckielce.pgegiek.pl
ECKSA;EDF Polska S.A.;PL;in use;eckrakow.pl
ECL;PGE Górnictwo i Energetyka Konwencjonalna S.A. Oddział Elektrociepłownia Lublin Wrotków;PL;in use;ec.lublin.pl
ECML;East Coast Main Line Ltd.;UK;in use;eastcoast.co.uk
ECMS;ECM – Service UG;DE;in use;ecm-service.com
ECOD;ECODIESEL S.A.;RO;in use;
ECOM;ECOMETAL SIB SRL;RO;in use;
ECOSA;Energetyka Cieplna Opolszczyzny S.A.;PL;in use;ec.opole.pl
ECR;DB Cargo France;FR;in use;fr.dbcargo.com/rail-fr-fr
ECS;EUROVIA CS, a. s.;CZ;in use;eurovia.cz
ECTF;EC Transporturi Feroviare SRL;RO;in use;
ECV;ECM VELARO s.r.o.;CZ;in use;www.ecmecm.eu
EDE;EQOS Energie Deutschland GmbH;AT;in use;eqos-energie.com
EDEL;Kai Edelmann;DE;in use;
EDG;Eisenbahndienstleister GmbH;CH;in use;eisenbahndienstleister.ch
EDIKT;Edikt a.s.;CZ;in use;edikt.cz
EE;Edelaraudtee;EE;Blocked;edel.ee
EEA;EUREGIO EISENBAH Ahaus-Alstätte;DE;in use;euregio-eisenbahn.de
EEB;Emsländische Eisenbahn GmbH;DE;in use;eeb-online.de
EETC;EuroExpress Train Charter;NL;in use;skitrein.nl
EEWS;EEWS spol. s r.o.;CZ;in use;
EEWSS;EEWS spol. s.r.o.;SK;in use;
EEX;Europe Express;FR;in use;
EFB;Eisenbahnfreunde Breisgau e.V.;DE;in use;rebenbummler.de
EFBS;Eisenbahnfreunde Betzdorf e.V;DE;Revoked;
EFC;Eisenbahnfreunde Chemnitztal e.V;DE;in use;chemnitztalbahn.de
EFG;Eisenbahnfreunde Grenzland e.V.;DE;in use;eisenbahnfreunde-grenzland.de
EFK;Erich Fahl GmbH & CoKG;DE;in use;fahl-bau.de
EFM;European Fleet Management GmbH & Co.KG;DE;in use;efm-hh.de
EFNWM;Eisenbahnfreunde Nordwestmecklenburg e.V.;DE;in use;eisenbahnfreunde-nwm.de
EFR;Eisenbahnfreunde Rodachtalbahn e.V;DE;in use;rodachtalbahn.de
EFRN;Freunde der V 100 e.V.;DE;in use;baureihe212.de
EFRV;Euro  Ferroviaria;IT;in use;
EFSA;EFSA SA;CH;in use;tracknet.ch
EFSFT;Eisenbahnfreunde Traditionsbahnbetriebswerk Staßfurt e.V.;DE;in use;eisenbahnfreunde-stassfurt.de
EFSK;Eisenbahnfreunde Treysa e.V.;DE;in use;eftreysa.de
EFW;EfW-Verkehrsgesellschaft mbH;DE;in use;efw-verkehrsgesellschaft.de
EFWFV;Eisenbahnfreunde Witten e.V.;DE;in use;ruhrtalbahn.de
EFWIN;EFW Infrastruktur GmbH;DE;in use;ef-wetterau.de
EFWIS;Eisenbahnfreunde Wismar e.V;DE;in use;lokschuppen-wismar.de
EFZ;Eisenbahnfreunde Zollernbahn e.V.;DE;in use;eisenbahnfreunde-zollernbahn.de
EGB;Erfurter Gleisbau GmbH;DE;in use;erfurter-gleisbau.de
EGMAR;Eredi Giuseppe Mercuri SpA;IT;in use;
EGN;EGENIE S.A.S;FR;in use;
EGOO;e.g.o.o. Eisenbahngesellschaft Ostfriesland-Oldenburg mbH;DE;in use;egoo-bahn.de
EGP;Eisenbahn-Gesellschaft Potsdam mbH;DE;in use;
EGS;E.G. Steele and Company Limited;UK;in use;egsteele.com
EH;ThyssenKrupp Steel Europe AG;DE;in use;thyssenkrupp-steel-europe.com
EHB;EHB Eisenbahn- und Hafenbetriebsgesellschaft Region Osnabrück mbH;DE;in use;stadtwerke-osnabrueck.de/ehb
EHD;ATLAS-Dresden/Eberle-Hald Handel und Dienstleistungen Dresden GmbH;DE;in use;eberle-hald.de
EHG;EH Güterverkehr GmbH;DE;Revoked;tks-eh.thyssenkrupp.com
EHGKG;Eisenbahn-Handels-Gesellschaft mbH & Co. KG;DE;in use;
EHH;Eisenbahnfreunde Hasetal Haselünne e.V.;DE;in use;eisenbahnfreunde-hasetal.net
EHM;Eberle-Hald  Handel und Dienstleistungen Metzingen GmbH;DE;in use;eberle-hald.net
EHT;EH Trä;SE;in use;
EIB;Erfurter Bahn GmbH;DE;in use;erfurter-bahn.de
EICS;Eisenbahningenieur Christian Schmiedel;DE;Revoked;ei-cs.de
EILT;E.I.L.T GmbH;DE;in use;eilt-evu.de
EIPSA;EIP SERVIÇOS SA;PT;in use;grupovisabeira.com/pt/empresas/visabeira-global/energia/eip-servicos
EIS;Eiffage Infra-Süd GmbH;DE;in use;eiffage-infra.de/sued
EIVEL;STRABAG Rail Operations GmbH;DE;Revoked;strabag.de
EIW;Eiffage Infra West GmbH;DE;in use;eiffage-infra.de/west
EJS;EJS – Betrieb UG;DE;in use;ejs-betrieb.de
EKKI;EKKI Bahndienstleistungen;DE;in use;
EKKW;Europejskie Konsorcjum Kolejowe WAGON Sp. z o.o.;PL;in use;ekk-wagon.pl
EKO;ArcelorMittal Eisenhüttenstadt Transport GmbH;DE;in use;eko-trans.de
EKOBG;EKO Bulgaria;BG;in use;eko.bg
EKODT;Ing. Ladislav Arendáč - EKODAT;SK;in use;
EKOSK;ŽOS-EKO, s.r.o.;SK;in use;zos-eko.sk
EKOWG;EKOWAGON sp. z o.o.;PL;in use;
EKSPR;EKSPER VAGON IŞLETMELERI A.Ş.;TR;in use;ekspervagon.com
EKSTR;EKSPER TREN TAŞIMACILIĞI A.Ş.;TR;in use;www.eksperrail.com
ELA;RATAELA, a.s.;CZ;in use;rataela.cz
ELAI;El`Achai - International Railways GmbH;CH;in use;el-achai.com.ch
ELBA;ELBA-Logistik GmbH;DE;in use;elba-logistik.de
ELBUD;ELBUDPROJEKT sp. z o. o.;PL;in use;
ELCJ;ELECTRIFICARE CFR - SUCURSALA CLUJ;RO;in use;electrificarecfr.ro
ELCMP;ELECTRO COMP SRL;RO;in use;
ELECT;ELECTREN, S.A.;ES;in use;electren.es
ELEM;NRC Infrapro Oy (Y-tunnus 2998506-9);FI;in use;nrcgroup.fi
ELEN;ELEN - ing. De Rossi - Srl;IT;in use;eleningderossi.it
ELG;ELG GmbH;DE;in use;elg-essen.com
ELGL;ELECTRIFICARE CFR - SUCURSALA GALATI;RO;in use;bahn.com.ro
ELINE;ELEKTROLINE a.s. PRAHA;CZ;in use;elektroline.cz
ELIS;ELECTRIFICARE CFR - SUCURSALA IASI;RO;in use;
ELIXG;ELIXIR GROUP;RS;in use;elixirgroup.rs
ELK;Eurolokpool GmbH;DE;in use;
ELKO;ENEA Wytwarzanie S.A.;PL;in use;elko.com.pl
ELKOM;ELKOM-GAZ Z. SOBIERALSKI SP. K;PL;in use;elkom-gaz.pl
ELL;Eisenbahn Logistik Leipzig GmbH;DE;in use;
ELLCT;Ellecosta Srl;IT;in use;
ELLTC;Elletec Betriebs GmbH;AT;in use;elletec.at
ELMAS;REYSAŞ DEMİRYOLU TAŞIMACILIĞI A.Ş.;TR;in use;reysas.com
ELME;Elme Metall OÜ;EE;in use;elmemetall.eu
ELNOR;ELECNOR Servicos y Proyectos, SAU;ES;in use;elecnor.es
ELNOS;ELNOS SRBIJA DOO BEOGRAD;RS;in use;elnosgroup.com
ELOC;ELL Germany GmbH;DE;in use;ell.co.at
ELOP;PGE Górnictwo i Energetyka Konwencjonalna S.A. – Oddział Elektrownia Opole;PL;in use;elopole.pgegiek.pl
ELOR;ELECTROCENTRALE ORADEA SA;RO;in use;
ELP;European Loc Pool AG;CH;in use;europeanlocpool.com
ELPC;ELECTROPUTERE SA;RO;in use;electroputere.ro
ELPRO;ELPRO VIA s.r.o.;CZ;in use;elprovia.cz
ELREG;ELREG-KOL Krzysztof Kurzydlak Marcin Walczyński;PL;in use;
ELRON;Eesti Liinirongid AS;EE;in use;elron.ee
ELS;ELS Eisenbahn Logistik und Service GmbH;DE;in use;
ELSID;ELSID SA;RO;in use;
ELT;ELAGRO TRADE SIA;LV;in use;elagrotrade.lv
ELTE;Elbatech AG;CH;in use;elbatech.com
ELTEL;ELTEL Networks Oy;FI;in use;eltelnetworks.com
ELTOR;Przedsiębiorstwo Wielobranżowe “EL-TOR 2” Antoni Perkowski;PL;in use;el-tor.pl
ELTRA;Eltra spol. s.r.o.;SK;in use;eltra.biz
ELV;Eisenbahn Vienenburg;DE;in use;
ELVZA;Elektrovod Žilina, a. s.;SK;in use;
ELZA;Elektromontážny závod Bratislava, a.s.;SK;in use;
ELZEL;Elektrizace železnic Praha a.s.;CZ;in use;
EMASZ;EUROMASZ Jacek Stryjakowski;PL;in use;pracebudowlane.com.pl
EMBB;Eisenbahnmuseum Bayrischer Bahnhof zu Leipzig e.V.;DE;in use;dampfbahnmuseum.de
EMSV;EBPOMETAЛ CTPOЙ-B OOД;BG;in use;emstroi.bg
EMD;IG Bw Dieringhausen e.V.;DE;in use;ig-bw-dieringhausen.de
EMERT;EXCLUSIVAS DE MAQUINARIA Y EQUIPOS S.L. (emerent);ES;in use;emerent.es
EMFES;ENAJENACIÓN DE MATERIALES FERROVIARIOS S.A.U.;ES;in use;emfesa.es
EMG;Erich Müllet;DE;in use;gleisbau-mueller.de
EMH;EXPLOATAREA MINIERA HARGHITA SA;RO;in use;
EMN;Transter Kornwestheim GmbH;DE;in use;
EMR;EuroMaint Rail AB;SE;in use;euromaint.se
EMS;Kommanditgesellschaft EMS-Gleisbau (GmbH & Co.);DE;in use;ems-gleisbau.de
EMSCH;EMS-CHEMIE AG;CH;in use;ems-group.com
EMTE;EMTE SLU;ES;Revoked;comsaemte.com
ENAG;Erms-Neckar-Bahn AG;DE;in use;erms-neckar-bahn.de
ENAS;Enaspol a. s.;CZ;in use;enaspol.cz
ENERG;Enefit Industry AS;EE;in use;www.enefit.com
ENG;Eisenbahnfreunde Niederrhein/Grenzland e.v;DE;in use;eng-ev.de
ENGEN;Energo engineering s.r.o.;CZ;in use;energoengineering.cz
ENGIE;Fabricom s.a.;BE;in use;engie-fabricom.com
ENJ;Engelsberg Norbergs Järnvägshistoriska förening;SE;in use;enj.se
ENNA;ENNA TRANSPORT d.o.o. za prijevoz tereta;HR;in use;transport.enna.hr
ENORA;ENORAIL;FR;in use;
