VKM;Keeper Name;Country;Status;Website
CER;Central-European Railway AG.;HU;in use;cer.hu
CERB;Centralna Energoremontna Baza AD / Централна Енергоремонтна База АД;BG;in use;cerb.bg
CEROV;COMPLEX ENERGETIC ROVINARI SA;RO;in use;
CERSK;CER Slovakia a.s.;SK;in use;cercargo.sk/index.php
CERT;Certis Belchim B.V. Niederlassung Deutschland;DE;in use;certis-railservice.de
CETIS;CET SA;RO;in use;cet-iasi.ro
CETUR;COMPLEXUL ENERGETIC TURCENI SA;RO;in use;eturceni.ro
CFC;LES CHEMINS DE FER DU CREUSOT;FR;in use;train-vapeur.fr
CFCB;Chemins de Fer du Centre-Bretagne;FR;in use;cfcb.bzh
CFDL;CO.F.EDIL S.r.l.;IT;in use;
CFF;Chemins de Fer Federaux Suisses;CH;in use;cff.ch
CFHA;Chemins de Fer de la Haute Auvergne;FR;in use;gentiane-express.com
CFHF;Chemin de Fer du Haut Forez;FR;in use;https://www.traintouristiqueduhautforez.fr
CFI;CFI - COMPAGNIA FERROVIARIA ITALIANA SrL;IT;in use;
CFL;Soc. Nat. des Chemins de Fer Luxembourgeois;LU;in use;cfl.lu
CFLCA;CFL cargo;LU;in use;
CFLCD;CFL Cargo Danmark ApS;DK;in use;dansk-jernbane.dk
CFLDE;CFL cargo Deutschland;DE;in use;cflcargo.de
CFLIF;CFL Gestion Infrastructure;LU;in use;cfl.lu
CFLS;CFL Cargo Sverige AB;SE;in use;cflcargo.se
CFM;Caile Ferate Moldova;MD;in use;railway.md
CFMLD;CONSTRUCTII FEROVIARE MOLDOVA SA;RO;in use;cfm.ro
CFMUR;CEFMUR SA;RO;in use;tradetrans.com
CFPM;C.F.P.M.;FR;in use;
CFR;SNTFM CFR Marfa SA;RO;in use;cfr.ro
CFRBF;Compagnie Ferroviaire Regionale;FR;in use;cfr-bfc.com
CFRRO;CARPATICA FEROVIAR ROMÂNIA S.A.;RO;in use;www.carpaticaferoviar.com
CFRTM;"SNCF ""CFR"" SA - SUCURSALA CREIR CF TIMISOARA";RO;in use;cfrtm.ro
CFS;Administration Générale des Chemins de Fer Syriens;SY;in use;
CFSP;CER FERSPED SA;RO;in use;
CFT;Čechofracht a.s.;CZ;in use;
CFTA;TRANSDEV RAIL;FR;in use;transdev.com
CFTLP;Chemin de Fer Touristique Limousin Périgord;FR;in use;trainvapeur.com
CFTST;Chemin de Fer Touristique Sud Touraine;FR;in use;cftsudtouraine.e-monsite.com
CFTV;Chemin de Fer Touristique du Vermandois;FR;in use;cftv.fr
CFV;CHEMIN DE FER DE LA VENDEE;FR;in use;vendeetrain.fr
CG;Christian Guldberg AB;SE;in use;
CGLRO;CARGILL AGRICULTURA SRL;RO;in use;www.cargill.com
CH;Chemins de Fer Hellénique;EL;in use;ose.gr
